1001.wav|یو څه شیان مې په کار دي.|یو څه شیان مې په کار دي.
1002.wav|ته یې را ته وایه زه به یې درته را اخلم.|ته یې را ته وایه زه به یې درته را اخلم.
1003.wav|ته صبر دلته مې لیکلي دي:|ته صبر دلته مې لیکلي دي:
1004.wav|1.	یودانه برس. 2.	څلور دانې صابونان. 3.	درې بوتله شامپو. 4.	دوه دانې د غاښونو کریم. 5.	یوه جوړه کالي.|1.	یودانه برس. 2.	څلور دانې صابونان. 3.	درې بوتله شامپو. 4.	دوه دانې د غاښونو کریم. 5.	یوه جوړه کالي.
1005.wav|ښه دا خو ستا شیان شول.|ښه دا خو ستا شیان شول.
1006.wav|دا برس دانه په څو دی؟|دا برس دانه په څو دی؟
1007.wav|برس به په شل افغانۍ درته حساب کړم.|برس به په شل افغانۍ درته حساب کړم.
1008.wav|صابون دانه په څو دی؟|صابون دانه په څو دی؟
1009.wav|چې ستا مرعات په کښې وي، په شل افغانۍ.|چې ستا مرعات په کښې وي، په شل افغانۍ.
1010.wav|شامپو به نو په څو وي؟|شامپو به نو په څو وي؟
1011.wav|شامپو به په سل افغانۍ در ته حساب کړم.|شامپو به په سل افغانۍ در ته حساب کړم.
1012.wav|ښه نو دا د غاښونو کریم په څو وی؟|ښه نو دا د غاښونو کریم په څو وی؟
1013.wav|دا ما ته په خپله په څلوېښت افغانۍ تمام شوي دي، یو پنجي په کښې را وبخښه په پنځه څلوېښت افغانۍ.|دا ما ته په خپله په څلوېښت افغانۍ تمام شوي دي، یو پنجي په کښې را وبخښه په پنځه څلوېښت افغانۍ.
1014.wav|ښه د جامو د څو کېږي؟|ښه د جامو د څو کېږي؟
1015.wav|د جامو پنځه سوه افغانۍ کېږي.|د جامو پنځه سوه افغانۍ کېږي.
1016.wav|جامې نو په پنځه سوه مه را باندې حسابوه.|جامې نو په پنځه سوه مه را باندې حسابوه.
1017.wav|وروره چنې نه په کې ځایېږي، په ټولو کې مې ستا پوره مرعات کړی دی.|وروره چنې نه په کې ځایېږي، په ټولو کې مې ستا پوره مرعات کړی دی.
1018.wav|ښه نو ستا خوښه ده|ښه نو ستا خوښه ده
1019.wav|دا بنګړي به په څو را کړې؟|دا بنګړي به په څو را کړې؟
1020.wav|خیر د دې پیسې در څخه نه اخلم.|خیر د دې پیسې در څخه نه اخلم.
1021.wav|مننه کور ودان، ښه نو ستا ټولې پیسې څو کېږي؟|مننه کور ودان، ښه نو ستا ټولې پیسې څو کېږي؟
1022.wav|ټولې دوه زره درې سوه پنځوس افغانۍ کېږي.|ټولې دوه زره درې سوه پنځوس افغانۍ کېږي.
1023.wav|ښه نو دا سودا په یوه کڅوړه کې را ته واچوه.|ښه نو دا سودا په یوه کڅوړه کې را ته واچوه.
1024.wav|نومځری (ضمیر)|نومځری (ضمیر)
1025.wav|ضمیر هغه کلیمه ده، چې په لنډیز سره د نوم پر ځای کارول کېږي.|ضمیر هغه کلیمه ده، چې په لنډیز سره د نوم پر ځای کارول کېږي.
1026.wav|لکه: زه، ته، دی، دا، ستا، هغه، دغه او نور.|لکه: زه، ته، دی، دا، ستا، هغه، دغه او نور.
1027.wav|ضمیر په پښتو کې لاندې ډولونه لري:|ضمیر په پښتو کې لاندې ډولونه لري:
1028.wav|لومړی: شخصي ضمیرونه|لومړی: شخصي ضمیرونه
1029.wav|هغه ضمیرونه دي، چې د انسانانو، شیانو، حیواناتو او ځایونو پر ځای راځي.|هغه ضمیرونه دي، چې د انسانانو، شیانو، حیواناتو او ځایونو پر ځای راځي.
1030.wav|لکه: زه، ما، موږ، ته، تاسې، دی، دا، دغه...|لکه: زه، ما، موږ، ته، تاسې، دی، دا، دغه...
1031.wav|دغه ضمیرونه درې حالته لري:|دغه ضمیرونه درې حالته لري:
1032.wav|1. متکلم: هغه څوک چې خبرې کوي. لکه زه، ما...|1. متکلم: هغه څوک چې خبرې کوي. لکه زه، ما...
1033.wav|2. مخاطب: هغه څوک دی، چې خبرې ورته کېږي. لکه: ته، تا، تاسې...|2. مخاطب: هغه څوک دی، چې خبرې ورته کېږي. لکه: ته، تا، تاسې...
